Region,Country,Target,Indicator Number,Indicator Name,Year,Value,Metadata
Latin America and the Caribbean,Aruba,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2015,23.20,
Latin America and the Caribbean,Aruba,4.5,4.5.6,Initial government expenditure on education as a percentage of GDP (%),2014,5.78,SOURCE: UIS/UOE data
Latin America and the Caribbean,Aruba,4.5,4.5.6,International expenditure on education as a percentage of GDP (%),2013,2.63,SOURCE: OECD CRS data (0 is either 0 or not reported)
Latin America and the Caribbean,Aruba,4.5,4.5.6,International expenditure on education as a percentage of GDP (%),2016,2.19,SOURCE: OECD CRS data (0 is either 0 or not reported)
Latin America and the Caribbean,Aruba,4.2,4.2.4,"Net enrolment rate, pre-primary, female (%)",2013,98.89,
Latin America and the Caribbean,Aruba,4.5,4.5.6,International expenditure on education as a percentage of GDP (%),2014,2.00,SOURCE: OECD CRS data (0 is either 0 or not reported)
Latin America and the Caribbean,Aruba,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2013,6.44,
Latin America and the Caribbean,Aruba,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2016,5.49,
Latin America and the Caribbean,Aruba,4.5,4.5.6,Initial government expenditure on education as a percentage of GDP (%),2015,5.52,SOURCE: UIS/UOE data
Latin America and the Caribbean,Aruba,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2014,19.62,
Latin America and the Caribbean,Aruba,4.5,4.5.6,Initial government expenditure on education as a percentage of GDP (%),2013,6.40,SOURCE: UIS/UOE data
Latin America and the Caribbean,Aruba,4.5,4.5.6,International expenditure on education as a percentage of GDP (%),2015,2.00,SOURCE: OECD CRS data (0 is either 0 or not reported)
Latin America and the Caribbean,Aruba,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2013,21.88,
Latin America and the Caribbean,Aruba,4.2,4.2.4,"Net enrolment rate, pre-primary, male (%)",2013,99.51,
Latin America and the Caribbean,Aruba,4.2,4.2.4,"Net enrolment rate, pre-primary, both sexes (%)",2013,99.21,
Latin America and the Caribbean,Aruba,4.2,4.2.4,"Net enrolment rate, early childhood education, both sexes (%)",2013,99.21,
Latin America and the Caribbean,Aruba,4.2,4.2.4,"Net enrolment rate, early childhood education, both sexes (%)",2014,98.88,
Latin America and the Caribbean,Aruba,4.2,4.2.4,"Net enrolment rate, early childhood education, female (%)",2013,98.89,
Latin America and the Caribbean,Aruba,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2014,5.85,
Latin America and the Caribbean,Aruba,4.2,4.2.4,"Net enrolment rate, pre-primary, both sexes (%)",2014,98.88,
Latin America and the Caribbean,Aruba,4.5,4.5.6,Initial government expenditure on education as a percentage of GDP (%),2016,5.27,SOURCE: UIS/UOE data
Latin America and the Caribbean,Aruba,4.2,4.2.4,"Net enrolment rate, early childhood education, male (%)",2013,99.51,
Latin America and the Caribbean,Aruba,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2016,21.85,
Latin America and the Caribbean,Aruba,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2015,5.89,
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2018,61.40,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, male (%)",2013,62.10,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, female (%)",2019,53.80,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2022,44.24,SOURCE: Afghanistan MICS 2022-23. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, male (%)",2017,71.20,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2016,57.10,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Central and Southern Asia,Afghanistan,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2014,3.70,
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, male (%)",2018,73.10,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, female (%)",2015,38.88,SOURCE: Afghanistan DHS 2015. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.
Central and Southern Asia,Afghanistan,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2013,7.13,SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, male (%)",2015,69.92,SOURCE: Afghanistan DHS 2015. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2017,59.40,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2020,65.20,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Central and Southern Asia,Afghanistan,4.5,4.5.6,International expenditure on education as a percentage of GDP (%),2017,1.14,SOURCE: OECD CRS data (0 is either 0 or not reported)
Central and Southern Asia,Afghanistan,4.5,4.5.6,Initial government expenditure on education as a percentage of GDP (%),2014,2.99,SOURCE: UIS/UOE data
Central and Southern Asia,Afghanistan,4.5,4.5.6,International expenditure on education as a percentage of GDP (%),2013,2.12,SOURCE: OECD CRS data (0 is either 0 or not reported)
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2013,49.80,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Central and Southern Asia,Afghanistan,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2016,8.26,SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, female (%)",2020,56.50,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Central and Southern Asia,Afghanistan,4.5,4.5.6,Initial government expenditure on education as a percentage of GDP (%),2013,2.81,SOURCE: UIS/UOE data
Central and Southern Asia,Afghanistan,4.5,4.5.6,International expenditure on education as a percentage of GDP (%),2016,1.36,SOURCE: OECD CRS data (0 is either 0 or not reported)
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, female (%)",2013,35.90,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, female (%)",2016,45.10,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Central and Southern Asia,Afghanistan,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2016,4.54,QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS.
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, male (%)",2019,74.90,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2019,63.40,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Central and Southern Asia,Afghanistan,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2015,3.26,
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, female (%)",2018,51.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, female (%)",2014,38.90,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, female (%)",2017,48.20,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2015,54.48,SOURCE: Afghanistan DHS 2015. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, male (%)",2020,76.50,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Central and Southern Asia,Afghanistan,4.5,4.5.6,Initial government expenditure on education as a percentage of GDP (%),2016,3.18,SOURCE: UIS/UOE data; int'l transfers subtracted using OECD CRS
Central and Southern Asia,Afghanistan,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2017,4.34,QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS.
Central and Southern Asia,Afghanistan,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2015,7.28,SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2014,52.40,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, male (%)",2022,53.29,SOURCE: Afghanistan MICS 2022-23. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.
Central and Southern Asia,Afghanistan,4.5,4.5.6,International expenditure on education as a percentage of GDP (%),2014,1.89,SOURCE: OECD CRS data (0 is either 0 or not reported)
Central and Southern Asia,Afghanistan,4.5,4.5.6,Initial government expenditure on education as a percentage of GDP (%),2017,3.20,SOURCE: UIS/UOE data; int'l transfers subtracted using OECD CRS
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, male (%)",2016,69.20,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Central and Southern Asia,Afghanistan,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2017,8.20,SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023
Central and Southern Asia,Afghanistan,4.5,4.5.6,International expenditure on education as a percentage of GDP (%),2018,1.44,SOURCE: OECD CRS data (0 is either 0 or not reported)
Central and Southern Asia,Afghanistan,4.5,4.5.6,International expenditure on education as a percentage of GDP (%),2015,1.10,SOURCE: OECD CRS data (0 is either 0 or not reported)
Central and Southern Asia,Afghanistan,4.5,4.5.6,Initial government expenditure on education as a percentage of GDP (%),2018,2.28,SOURCE: UIS/UOE data; int'l transfers subtracted using OECD CRS
Central and Southern Asia,Afghanistan,4.5,4.5.6,Initial government expenditure on education as a percentage of GDP (%),2015,2.62,SOURCE: UIS/UOE data
Central and Southern Asia,Afghanistan,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2013,3.45,
Central and Southern Asia,Afghanistan,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2014,7.96,SOURCE: IMF; indicator GEETO_G14_PT: COFOG Function Name=Expenditure on education; Sector Name: General government; Unit Name=Percent of total expenditure; downloaded from https://data.imf.org on 9 August 2023
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, female (%)",2022,35.95,SOURCE: Afghanistan MICS 2022-23. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.
Central and Southern Asia,Afghanistan,4.1,4.1.2,"Completion rate, primary education, male (%)",2014,64.70,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Sub-Saharan Africa,Angola,4.2,4.2.4,"Net enrolment rate, pre-primary, male (%)",2016,34.48,
Sub-Saharan Africa,Angola,4.2,4.2.4,"Net enrolment rate, early childhood education, female (%)",2016,30.87,
Sub-Saharan Africa,Angola,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2020,59.00,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Sub-Saharan Africa,Angola,4.1,4.1.2,"Completion rate, primary education, male (%)",2016,55.50,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Sub-Saharan Africa,Angola,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2013,50.80,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Sub-Saharan Africa,Angola,4.1,4.1.2,"Completion rate, primary education, male (%)",2014,54.20,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Sub-Saharan Africa,Angola,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2016,54.10,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Sub-Saharan Africa,Angola,4.1,4.1.2,"Completion rate, primary education, male (%)",2019,57.70,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Sub-Saharan Africa,Angola,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2015,59.96,SOURCE: Angola DHS 2015-16. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.
Sub-Saharan Africa,Angola,4.1,4.1.2,"Completion rate, primary education, female (%)",2017,54.80,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Sub-Saharan Africa,Angola,4.1,4.1.2,"Completion rate, primary education, female (%)",2016,53.30,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Sub-Saharan Africa,Angola,Education 2030 FFA,Education 2030 FFA,Government expenditure on education as a percentage of GDP (%),2021,2.30,SOURCE:  ORCAMENTO GERAL DO ESTADO | 2021 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/aw4x/mjcw/~edisp/minfin1270854.pdf)
Sub-Saharan Africa,Angola,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2017,55.40,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Sub-Saharan Africa,Angola,4.1,4.1.2,"Completion rate, primary education, both sexes (%)",2014,51.80,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
Sub-Saharan Africa,Angola,1.a,1.a.2,Expenditure on education as a percentage of total government expenditure (%),2015,8.92,SOURCE:  ORCAMENTO GERAL DO ESTADO | 2015 (https://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/zmlu/mdm0/~edisp/minfin034957.pdf)
Sub-Saharan Africa,Angola,4.1,4.1.2,"Completion rate, primary education, female (%)",2019,57.60,SOURCE: https://education-estimates.org/completion/data/; extracted on 18 August 2023 (GEMR/UIS)
